back,BackSpace
close,ctrl+w
close tab,ctrl+w
close window,ctrl+w
copy,ctrl+c
cut,ctrl+x
delete permanently,shift+Delete
enter location,ctrl+l
go to home folder,alt+Home
go to next tab,ctrl+Page_Down
go to previous tab,ctrl+Page_Up
hide action menu,F10
hide hidden files,ctrl+h
hide sidebar,F9
invert selection,shift+ctrl+i
move tab left,shift+ctrl+Page_Up
move tab right,shift+ctrl+Page_Down
move to trash,Delete
new folder,shift+ctrl+Page_Down
new tab,ctrl+t
new window,ctrl+n
open,ctrl+o
open file and close window,shift+ctrl+Down
open in new tab,ctrl+Return
open in new window,shift+Return
open item location,ctrl+alt+o
paste,ctrl+v
redo,shift+ctrl+z
refresh,F5
rename,F2
reset zoom,ctrl+0
restore tab,ctrl+shift+t
search,ctrl+f
select all,ctrl+a
select matching items,ctrl+s
shortcuts,ctrl+F1
show action menu,F10
show help,F1
show hidden files,ctrl+h
show item properties,ctrl+i
show sidebar,F9
switch to tab eight,alt+8
switch to tab five,alt+5
switch to tab four,alt+4
switch to tab nine,alt+9
switch to tab one,alt+1
switch to tab seven,alt+7
switch to tab six,alt+6
switch to tab three,alt+3
switch to tab two,alt+2
undo,ctrl+z
zoom in,ctrl+plus
zoom out,ctrl+minus
